Scenario - Edit asset  - Asset 1 in an Enterprise assessment,,,,,,,,,,,,,,,,,
User Journey/User Actions,Database Operations,,,,,,,,,,,,,,,,
Edit asset  - Asset 1,,risk_assess,,,,,,,,,,,,,,,
,,risk_assess_id,risk_assess_vsn_no,iso_alpha2_ctry_cd,risk_assess_nm,risk_assess_ds,act_in,hist_ts,merge_prod_risk_assess_id,merge_prod_risk_assess_vsn_no,srce_risk_assess_id,srce_risk_assess_vsn_no,creat_ts,creat_user_id,lst_updt_ts,lst_updt_user_id,
,,1,1,XX,Enterprise assessmement,Enterprise assessmement,TRUE,,,,,,2026-01-15T08:52:26.702Z,8193815,2026-01-15T11:52:26.702Z,8193815,
We create a fresh Enterprise assessment,,2,1,XX,Enterprise assessmement 2,Enterprise assessmement 2,TRUE,,,,,,2026-01-15T12:52:26.702Z,8193815,,,
,,,,,,,,,,,,,,,,,
,,risk_rule,,,,,,,,,,,,,,,
,,risk_assess_id,risk_assess_vsn_no,iso_alpha2_ctry_cd,risk_elem_id,rule_set_id,rule_id,rule_seq_no,da_pt_id,da_opr_id,da_pt_val,refer_da_asset_id,refer_da_asset_vsn_no,creat_ts,creat_user_id,lst_updt_ts,lst_updt_user_id
,,1,1,XX,1,1,1,1,3,2,3,1,1,2026-01-15T10:52:26.702Z,8193815,,
,,2,1,XX,1,1,1,1,3,2,3,1,1,2026-01-15T12:52:26.702Z,8193815,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Edit asset (assettt id 1, version -1)",,refer_da_asset,,,,,,,,,,,,,,,
,,refer_da_asset_id,refer_da_asset_vsn_no,refer_da_asset_nm,refer_asset_da,refer_asset_da_hash_tx,refer_da_asset_srce_id,refer_da_asset_ds,creat_user_id,creat_ts,lst_updt_user_id,lst_updt_ts,,,,,
,,1,1,Asset 1,"{""list"":[""1"",""2""],""filename"":""Asset1""}",878278631,1,Asset 1,8193815,2026-01-15T09:52:26.702Z,,,,,,,
,,1,2,Asset 1,"{""list"":[""1"",""2"",""3""],""filename"":""Asset1""}",988278631,1,Asset 1,8193815,2026-01-15T13:52:26.702Z,,,,,,,
,,,,,,,,,,,,,,,,,
,,refer_da_asset_sta_hist,,,,,,,,,,,,,,,
,,refer_da_asset_id,refer_da_asset_vsn_no,sta_updt_ts,refer_da_asset_sta_id,sta_updt_cmnt_tx,creat_user_id,,,,,,,,,,
,,1,1,2026-01-15T09:52:26.702Z,DRAFT,,8193815,,,,,,,,,,
,,1,1,2026-01-15T10:52:26.702Z,SANDBOX,,8193815,,,,,,,,,,
,,1,1,2026-01-15T11:52:26.702Z,PRODUCTION,,8193815,,,,,,,,,,
,,1,2,2026-01-15T13:52:26.702Z,SANDBOX,,8193815,,,,,,,,,,
