Scenario 1 - No Assessment exists. First time XX assesment is being created where a rule needs to created using an asset,,,,,,,,,,,,,,,,,
User Journey/User Actions,Database Operations,risk_assess,,,,,,,,,,,,,,,
User creates a fresh Enterprise assessment,Create a new entry in risk_assess table,risk_assess_id,risk_assess_vsn_no,iso_alpha2_ctry_cd,risk_assess_nm,risk_assess_ds,act_in,hist_ts,merge_prod_risk_assess_id,merge_prod_risk_assess_vsn_no,srce_risk_assess_id,srce_risk_assess_vsn_no,creat_ts,creat_user_id,lst_updt_ts,lst_updt_user_id,
,"here, srce_risk_assess_id and srce_risk_assess_vsn_no is blank because this is the first assessment. There is no parent assessment. ",1,1,XX,Enterprise assessmement,Enterprise assessmement,TRUE,,,,,,2026-01-15T08:52:26.702Z,8193815,,,
,,,,,,,,,,,,,,,,,
,,risk_assess_sta_trk,,,,,,,,,,,,,,,
,,risk_assess_id,risk_assess_vsn_no,risk_assess_sta_cd,sta_cmnt_tx,creat_user_id,creat_ts,,,,,,,,,,
,,1,1,1,"Default status, Version 1",8193815,2026-01-15T08:52:26.702Z,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,(see if entry goes in assessment status tracking table also),,,,,,,,,,,,,,,,
User creates an asset from within the sandbox,Save asset with version 1,refer_da_asset,,,,,,,,,,,,,,,
,,refer_da_asset_id,refer_da_asset_vsn_no,refer_da_asset_nm,refer_asset_da,refer_asset_da_hash_tx,refer_da_asset_srce_id,refer_da_asset_ds,creat_user_id,creat_ts,lst_updt_user_id,lst_updt_ts,,,,,
,,1,1,Asset 1,"{""list"":[""1"",""2""],""filename"":""Asset1""}",878278631,1,,8193815,2026-01-15T09:52:26.702Z,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Mark asset status as draft,refer_da_asset_sta_hist,,,,,,,,,,,,,,,
,,refer_da_asset_id,refer_da_asset_vsn_no,sta_updt_ts,refer_da_asset_sta_id,sta_updt_cmnt_tx,creat_user_id,,,,,,,,,,
,,1,1,2026-01-15T09:52:26.702Z,DRAFT,,8193815,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"User creates a risk category, risk element, rule set &  rule where he links the asset created in last step","(Add tables for category, risk element and rule set also)",,,,,,,,,,,,,,,,
,,risk_assess_ctgy,,,,,,,,,,,,,,,
,,risk_assess_id,risk_assess_vsn_no,risk_ctgy_id,risk_ctgy_nm,risk_assess_ctgy_ds,creat_ts,creat_user_id,lst_updt_ts,lst_updt_user_id,,,,,,,
,,1,1,1,Category 1,Category 1,2026-01-15T09:54:26.702Z,8193815,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,risk_assess_ctgy_elem,,,,,,,,,,,,,,,
,,risk_assess_id,risk_assess_vsn_no,iso_alpha2_ctry_cd,risk_elem_id,risk_ctgy_id,risk_elem_nm,risk_assess_elem_ds,tm_base_in,min_max_mult_eval_cd,prohibited_in,creat_ts,creat_user_id,lst_updt_ts,lst_updt_user_id,tm_base_run_intvl_day_ct,
,,1,1,XX,1,1,Element 1,Element 1,FALSE,MAX,FALSE,2026-01-15T09:55:26.702Z,8193815,,,,
,,,,,,,,,,,,,,,,,
,Create a rule and link asset,rule_set,,,,,,,,,,,,,,,
,,risk_assess_id,risk_assess_vsn_no,iso_alpha2_ctry_cd,risk_elem_id,rule_set_id,rule_set_ds,mult_da_pt_id,dflt_mult_no,dflt_wt_no,ruleset_mult_no,mult_optn_id,creat_ts,creat_user_id,lst_updt_ts,lst_updt_user_id,rule_set_cond_tx
,,1,1,XX,1,1,rule set 1,,0,0,2,1,2026-01-15T10:52:26.702Z,8193815,,,
,,,,,,,,,,,,,,,,,
,,risk_rule,,,,,,,,,,,,,,,
,,risk_assess_id,risk_assess_vsn_no,iso_alpha2_ctry_cd,risk_elem_id,rule_set_id,rule_id,rule_seq_no,da_pt_id,da_opr_id,da_pt_val,refer_da_asset_id,refer_da_asset_vsn_no,creat_ts,creat_user_id,lst_updt_ts,lst_updt_user_id
,,1,1,XX,1,1,1,1,3,2,3,1,1,2026-01-15T10:52:26.702Z,8193815,,
,,,,,,,,,,,,,,,,,
,,ruleset_risk_mthd,,,,,,,,,,,,,,,
,,risk_assess_id,risk_assess_vsn_no,iso_alpha2_ctry_cd,risk_elem_id,rule_set_id,risk_mthd_cd,creat_ts,creat_user_id,lst_updt_ts,lst_updt_user_id,,,,,,
,,1,1,XX,1,1,XX,2026-01-15T10:52:26.702Z,,,,,,,,,
,,1,1,XX,1,1,I,2026-01-15T10:52:26.702Z,,,,,,,,,
,,1,1,XX,1,1,E,2026-01-15T10:52:26.702Z,,,,,,,,,
,,1,1,XX,1,1,M,2026-01-15T10:52:26.702Z,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Mark the asset status as Sanbox,refer_da_asset_sta_hist,,,,,,,,,,,,,,,
,,refer_da_asset_id,refer_da_asset_vsn_no,sta_updt_ts,refer_da_asset_sta_id,sta_updt_cmnt_tx,creat_user_id,,,,,,,,,,
,,1,1,2026-01-15T09:52:26.702Z,DRAFT,,8193815,,,,,,,,,,
,,1,1,2026-01-15T10:52:26.702Z,SANDBOX,,8193815,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,refer_da_asset_scope_mapping,,,,,,,,,,,,,,,
,Mark that asset is linked to enterprise,refer_da_asset_id,iso_alpha2_ctry_cd,,,,,,,,,,,,,,
,,1,XX,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
skip simulation,,risk_assess_sta_trk,,,,,,,,,,,,,,,
,,risk_assess_id,risk_assess_vsn_no,risk_assess_sta_cd,sta_cmnt_tx,creat_user_id,creat_ts,,,,,,,,,,
,,1,1,1,"Default status, Version 1",8193815,2026-01-15T08:52:26.702Z,,,,,,,,,,
,,1,1,3,skipped,8193815,2026-01-15T10:54:26.702Z,,,,,,,,,,
,,,,,,,,,,,,,,,,,
approval 1,,risk_assess_sta_trk,,,,,,,,,,,,,,,
,,risk_assess_id,risk_assess_vsn_no,risk_assess_sta_cd,sta_cmnt_tx,creat_user_id,creat_ts,,,,,,,,,,
,,1,1,1,"Default status, Version 1",8193815,2026-01-15T08:52:26.702Z,,,,,,,,,,
,,1,1,3,skipped,8193815,2026-01-15T10:54:26.702Z,,,,,,,,,,
,,1,1,5,approval 1,8193815,2026-01-15T11:55:26.702Z,,,,,,,,,,
,,,,,,,,,,,,,,,,,
approval 2 and merge to production,,risk_assess,,,,,,,,,,,,,,,
,(why the last update timestamp is being updated?) ,risk_assess_id,risk_assess_vsn_no,iso_alpha2_ctry_cd,risk_assess_nm,risk_assess_ds,act_in,hist_ts,merge_prod_risk_assess_id,merge_prod_risk_assess_vsn_no,srce_risk_assess_id,srce_risk_assess_vsn_no,creat_ts,creat_user_id,lst_updt_ts,lst_updt_user_id,
,,1,1,XX,Enterprise assessmement,Enterprise assessmement,TRUE,2026-01-15T11:52:26.702Z,1,1,,,2026-01-15T08:52:26.702Z,8193815,2026-01-15T11:52:26.702Z,8193815,
,,,,,,,,,,,,,,,,,
,,risk_assess_sta_trk,,,,,,,,,,,,,,,
,,risk_assess_id,risk_assess_vsn_no,risk_assess_sta_cd,sta_cmnt_tx,creat_user_id,creat_ts,,,,,,,,,,
,,1,1,1,"Default status, Version 1",8193815,2026-01-15T08:52:26.702Z,,,,,,,,,,
,,1,1,3,skipped,8193815,2026-01-15T10:54:26.702Z,,,,,,,,,,
,,1,1,5,approval 1,8193815,2026-01-15T11:55:26.702Z,,,,,,,,,,
,,1,1,6,approval 2,8193815,2026-01-15T11:52:26.702Z,,,,,,,,,,
,,1,1,8,merged to prod,8193815,2026-01-15T11:52:26.702Z,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,(Add changes of assessment status tracking),,,,,,,,,,,,,,,,
,,refer_da_asset_sta_hist,,,,,,,,,,,,,,,
,Mark Asset as Production asset,refer_da_asset_id,refer_da_asset_vsn_no,sta_updt_ts,refer_da_asset_sta_id,sta_updt_cmnt_tx,creat_user_id,,,,,,,,,,
,,1,1,2026-01-15T09:52:26.702Z,DRAFT,,8193815,,,,,,,,,,
,,1,1,2026-01-15T10:52:26.702Z,SANDBOX,,8193815,,,,,,,,,,
,,1,1,2026-01-15T11:52:26.702Z,PRODUCTION,,8193815,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Action items:,,,,,,,,,,,,,,,,,
remove crnt_refer_da_asset_sta_id from crnt_refer_da_asset table ,,,,,,,,,,,,,,,,,
check for merge_prod_risk_assess_id	merge_prod_risk_assess_vsn_no	srce_risk_assess_id	srce_risk_assess_vsn_no,,,,,,,,,,,,,,,,,
how to show and notify user for assets used in other markets in an XX assessment,,,,,,,,,,,,,,,,,
add delete status for asset,,,,,,,,,,,,,,,,,
